date,open,high,low,close,ticker
2021-10-05,378.1,388.22,375.5,385.81,GS
2021-10-06,382.38,389.55,378.66,388.05,GS
2021-10-07,392.91,397.85,389.76,390.62,GS
2021-10-08,390.83,394.31,388.18,392.81,GS
2021-10-11,392.9,396.95,385.02,385.24,GS
2021-10-12,386.22,388.59,381.02,386.53,GS
2021-10-13,388.0,388.3809,378.625,386.31,GS
2021-10-14,392.0,393.66,382.2,391.2,GS
2021-10-15,402.31,407.272,396.34,406.07,GS
2021-10-18,408.01,415.94,407.6,413.69,GS
2021-10-19,415.18,415.85,409.69,412.16,GS
2021-10-20,411.0,414.33,406.195,407.89,GS
2021-10-21,406.8,412.66,404.615,407.59,GS
2021-10-22,409.99,415.36,409.1,414.32,GS
2021-10-25,416.21,419.49,413.27,414.75,GS
2021-10-26,416.37,419.81,413.76,417.61,GS
2021-10-27,416.55,418.06,410.55,410.99,GS
2021-10-28,412.0,414.92,409.06,414.82,GS
2021-10-29,414.02,415.96,411.18,413.35,GS
2021-11-01,417.07,418.73,413.248,416.7,GS
2021-11-02,415.1,426.1582,412.79,423.85,GS
2021-11-03,423.115,424.0,412.56,417.9,GS
2021-11-04,414.65,415.99,403.028,408.07,GS
2021-11-05,411.4,414.45,406.1,407.08,GS
2021-11-08,409.89,413.65,407.96,408.34,GS
2021-11-09,406.11,407.584,400.06,405.35,GS
2021-11-10,402.33,405.55,397.245,399.12,GS
2021-11-11,400.14,403.76,398.51,402.34,GS
2021-11-12,403.0,405.1,399.2,404.91,GS
2021-11-15,406.0,407.34,403.9149,404.81,GS
2021-11-16,403.91,405.84,399.0,403.09,GS
2021-11-17,401.85,402.65,391.47,391.55,GS
2021-11-18,392.3,393.9202,385.68,391.37,GS
2021-11-19,382.38,390.24,381.04,387.39,GS
2021-09-13,334.95,337.15,332.75,335.45,HD
2021-09-14,336.03,337.4899,332.4183,333.12,HD
2021-09-15,333.36,334.67,330.1,333.37,HD
2021-09-16,334.72,337.84,334.17,336.39,HD
2021-09-17,334.95,339.645,334.95,335.67,HD
2021-09-20,331.83,335.39,328.4301,331.21,HD
2021-09-21,333.03,336.9676,332.0001,334.22,HD
2021-09-22,335.85,339.0,333.4596,335.93,HD
2021-09-23,337.84,339.52,335.6,335.91,HD
2021-09-24,336.78,337.84,335.55,337.49,HD
2021-09-27,336.87,343.74,336.87,341.41,HD
2021-09-28,341.37,341.37,332.46,333.8,HD
2021-09-29,333.36,338.88,333.36,336.93,HD
2021-09-30,338.24,338.71,327.628,328.26,HD
2021-10-01,328.15,332.73,324.575,329.86,HD
2021-10-04,328.5,330.61,324.16,326.47,HD
2021-10-05,326.9,332.19,326.3269,329.48,HD
2021-10-06,328.16,330.65,325.4,330.36,HD
2021-10-07,333.5,339.22,332.86,337.48,HD
2021-10-08,333.0,335.405,330.88,334.34,HD
2021-10-11,335.6,340.855,334.6,336.97,HD
2021-10-12,339.14,341.05,337.4,337.8,HD
2021-10-13,337.32,340.24,336.55,338.28,HD
2021-10-14,340.53,344.37,340.1,344.05,HD
2021-10-15,346.54,350.9527,345.75,350.41,HD
2021-10-18,349.0,355.95,349.0,355.01,HD
2021-10-19,356.94,358.09,354.42,357.99,HD
2021-10-20,357.74,359.57,356.21,358.23,HD
2021-10-21,358.2,364.85,358.12,364.62,HD
2021-10-22,365.0,367.03,362.15,365.99,HD
2021-10-25,367.2,371.66,365.99,371.26,HD
2021-10-26,373.39,374.05,369.08,369.2,HD
2021-10-27,369.87,375.15,369.3082,372.32,HD
2021-10-28,373.0,373.94,370.89,371.57,HD
2021-10-29,370.33,375.15,370.03,371.74,HD
2021-11-01,373.0,373.57,364.7,366.48,HD
2021-11-02,366.2,368.89,364.94,367.29,HD
2021-11-03,366.63,369.36,365.25,368.97,HD
2021-11-04,370.78,373.23,369.41,372.18,HD
2021-11-05,373.81,374.41,367.57,368.4,HD
2021-11-08,370.22,372.91,367.85,368.59,HD
2021-11-09,369.67,373.88,368.705,370.65,HD
2021-11-10,368.25,371.21,367.72,368.58,HD
2021-11-11,371.0,372.0,365.83,367.63,HD
2021-11-12,369.12,373.5,366.7,372.63,HD
2021-11-15,374.39,374.87,369.29,371.08,HD
2021-11-16,382.0,394.38,379.0,392.33,HD
2021-11-17,392.83,399.43,390.81,394.85,HD
2021-11-18,398.0,406.5378,396.09,405.85,HD
2021-11-19,407.63,410.1,404.1101,408.69,HD
2021-09-13,54.61,55.485,54.41,54.99,INTC
2021-09-14,55.37,55.44,54.27,54.52,INTC
2021-09-15,54.67,55.15,54.42,55.12,INTC
2021-09-16,54.86,54.95,54.24,54.83,INTC
2021-09-17,54.59,54.59,53.665,54.26,INTC
2021-09-20,53.2135,53.5,52.32,52.98,INTC
2021-09-21,53.2,53.45,52.83,52.87,INTC
2021-09-22,53.4,53.87,53.0,53.5,INTC
2021-09-23,53.75,54.3,53.6,54.03,INTC
2021-09-24,53.775,54.423,53.73,54.22,INTC
2021-09-27,53.94,54.87,53.82,54.66,INTC
2021-09-28,54.18,54.59,53.96,54.0,INTC
2021-09-29,54.0,54.05,53.18,53.49,INTC
2021-09-30,53.76,53.98,53.26,53.28,INTC
2021-10-01,53.645,54.105,53.05,53.86,INTC
2021-10-04,53.93,54.33,53.08,53.47,INTC
2021-10-05,53.55,54.34,53.475,53.95,INTC
2021-10-06,53.48,54.07,53.07,53.98,INTC
2021-10-07,54.319,54.985,54.12,54.18,INTC
2021-10-08,54.55,54.58,53.7,53.81,INTC
2021-10-11,53.81,54.41,53.42,53.44,INTC
2021-10-12,53.57,53.72,52.01,52.17,INTC
2021-10-13,52.38,52.5784,51.865,52.26,INTC
2021-10-14,52.895,54.0,52.73,53.9,INTC
2021-10-15,54.2,54.49,53.8095,54.46,INTC
2021-10-18,54.185,54.56,53.72,54.47,INTC
2021-10-19,54.6257,55.22,54.37,55.21,INTC
2021-10-20,55.25,55.485,55.08,55.37,INTC
2021-10-21,54.925,56.07,54.83,56.0,INTC
2021-10-22,50.39,50.55,49.14,49.46,INTC
2021-10-25,49.825,50.07,49.31,49.41,INTC
2021-10-26,49.4,49.44,47.93,48.28,INTC
2021-10-27,48.52,48.8155,47.87,47.89,INTC
2021-10-28,48.14,48.3599,47.88,48.08,INTC
2021-10-29,48.1,49.28,47.92,49.0,INTC
2021-11-01,49.4,49.6,49.0,49.55,INTC
2021-11-02,49.61,49.895,49.23,49.86,INTC
2021-11-03,49.9313,50.45,49.71,50.39,INTC
2021-11-04,50.24,50.35,49.73,50.31,INTC
2021-11-05,50.55,51.58,50.54,50.92,INTC
2021-11-08,51.46,51.99,51.06,51.55,INTC
2021-11-09,51.54,51.77,50.765,51.2,INTC
2021-11-10,50.975,51.3873,50.71,50.76,INTC
2021-11-11,51.01,51.07,50.41,50.53,INTC
2021-11-12,50.595,50.9,50.18,50.31,INTC
2021-11-15,50.41,50.63,50.12,50.32,INTC
2021-11-16,50.37,51.15,50.34,50.61,INTC
2021-11-17,50.6,50.9399,49.98,50.23,INTC
2021-11-18,50.24,50.24,48.97,49.68,INTC
2021-11-19,49.6,49.73,49.24,49.52,INTC
2021-09-13,138.4,138.99,137.51,138.15,IBM
2021-09-14,138.4,138.57,135.34,136.22,IBM
2021-09-15,136.22,137.8,135.67,137.2,IBM
2021-09-16,137.28,137.95,135.71,136.43,IBM
2021-09-17,135.75,135.9199,135.05,135.23,IBM
2021-09-20,133.9,135.18,132.78,134.31,IBM
2021-09-21,135.11,135.65,132.94,132.97,IBM
2021-09-22,133.72,135.37,133.47,134.63,IBM
2021-09-23,135.25,137.42,135.03,136.73,IBM
2021-09-24,137.03,138.48,136.75,137.49,IBM
2021-09-27,137.96,139.065,137.48,138.56,IBM
2021-09-28,139.17,139.688,137.21,137.47,IBM
2021-09-29,137.73,139.93,136.44,139.18,IBM
2021-09-30,140.0,140.57,138.5,138.93,IBM
2021-10-01,141.0,143.97,140.37,143.32,IBM
2021-10-04,142.74,146.0,142.3501,144.11,IBM
2021-10-05,144.75,145.0,142.64,143.15,IBM
